seq,prompt_idx,start_epoch_ms,end_epoch_ms,latency_ms,http_code,time_total_sec,openai_processing_ms
1,0,1771586629857,1771586631401,1544,200,1.493833,1472
2,1,1771586632509,1771586636918,4409,200,4.285077,4264
3,2,1771586638029,1771586639183,1154,200,1.109978,1086
4,3,1771586640287,1771586644589,4302,200,4.263733,4239
5,4,1771586645697,1771586650305,4608,200,4.568718,4542
6,5,1771586651415,1771586655959,4544,200,4.498128,4443
7,6,1771586657080,1771586661754,4674,200,4.630681,4575
8,7,1771586662852,1771586667502,4650,200,4.610199,4588
9,8,1771586668661,1771586674607,5946,200,5.905530,5883
10,9,1771586675705,1771586681777,6072,200,6.032732,6010
