step,run,DOWN_START_EPOCH,DOWN_END_EPOCH,UP_START_EPOCH,UP_END_EPOCH,T_down,T_up,T_total,cpu_down_mean,cpu_down_peak,cpu_down_auc,cpu_up_mean,cpu_up_peak,cpu_up_auc,ram_down_mean,ram_down_peak,ram_down_auc,ram_up_mean,ram_up_peak,ram_up_auc,disk_util_down_mean,disk_util_down_peak,disk_util_down_auc,disk_util_up_mean,disk_util_up_peak,disk_util_up_auc,io_read_down_mean,io_read_down_peak,io_read_down_auc,io_read_up_mean,io_read_up_peak,io_read_up_auc,io_write_down_mean,io_write_down_peak,io_write_down_auc,io_write_up_mean,io_write_up_peak,io_write_up_auc
step06_scale_up_down,1,1769154904,1769154905,1769154905,1769154908,1.0,3.0,4.0,,,,38.2337671,47.9434442,76.4675342,,,,1365.7119,1371.4668,2731.4238,,,,0.5,0.5,1.0,,,,0.0,0.0,0.0,,,,37.383073499999995,44.661522,74.76614699999999
step06_scale_up_down,2,1769154910,1769154911,1769154911,1769154918,1.0,7.0,8.0,,,,36.850744199999994,36.850744199999994,0.0,,,,1372.20115,1372.20115,0.0,,,,74.5,74.5,0.0,,,,0.1784697,0.1784697,0.0,,,,347.0497025,347.0497025,0.0
step06_scale_up_down,3,1769154920,1769154921,1769154921,1769154924,1.0,3.0,4.0,,,,37.658227350000004,49.999999200000005,75.31645470000001,,,,1367.452175,1371.92775,2734.90435,,,,2.5,4.0,5.0,,,,3.07836925,6.1567385,6.1567385,,,,173.74534,316.258865,347.49068
step06_scale_up_down,4,1769154926,1769154927,1769154927,1769154935,1.0,8.0,9.0,,,,24.320812850000003,29.703826900000003,121.60406425000002,,,,1370.60781,1374.3578,6853.039049999999,,,,5.5,10.8,27.5,,,,0.0,0.0,0.0,,,,444.0062312,865.9022634,2220.031156
step06_scale_up_down,5,1769154937,1769154938,1769154938,1769154941,1.0,3.0,4.0,43.719374,43.719374,0.0,40.62436725,43.719374,81.2487345,1385.12695,1385.12695,0.0,1388.955075,1392.7832,2777.91015,0.0,0.0,0.0,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,71.382805,71.382805,0.0,53.7479,71.382805,107.4958
step06_scale_up_down,6,1769154942,1769154943,1769154943,1769154947,1.0,4.0,5.0,,,,52.945244599999995,52.945244599999995,0.0,,,,1381.2734333,1381.2734333,0.0,,,,38.0,38.0,0.0,,,,5.475946,5.475946,0.0,,,,550.8209027,550.8209027,0.0
step06_scale_up_down,7,1769154949,1769154949,1769154949,1769154956,0.0,7.0,7.0,,,,24.19278465,31.6253713,96.7711386,,,,1388.117675,1392.627925,5552.4707,,,,2.0,4.0,8.0,,,,0.0,0.0,0.0,,,,78.00000015,144.599175,312.0000006
step06_scale_up_down,8,1769154958,1769154958,1769154958,1769154962,0.0,4.0,4.0,,,,36.5561125,49.1038935,73.112225,,,,1391.178725,1392.6914,2782.35745,,,,16.25,25.5,32.5,,,,3.5680745,7.136149,7.136149,,,,1329.755815,2019.05988,2659.51163
step06_scale_up_down,9,1769154964,1769154964,1769154964,1769154968,0.0,4.0,4.0,,,,37.8296408,55.6604501,75.6592816,,,,1393.194325,1397.16795,2786.38865,,,,0.75,1.0,1.5,,,,5.7539025,11.507805,11.507805,,,,31.5758875,41.11039,63.151775
step06_scale_up_down,10,1769154970,1769154971,1769154971,1769154974,1.0,3.0,4.0,,,,36.25599975,48.714654499999995,72.5119995,,,,1393.0996,1396.21875,2786.1992,,,,14.75,29.5,29.5,,,,0.0,0.0,0.0,,,,1351.47444525,2222.0278,2702.9488905
