step,run,START_EPOCH,READY_EPOCH,END_EPOCH,T_ready,T_total,cpu_mean,cpu_peak,cpu_auc,ram_mean,ram_peak,ram_auc,disk_util_mean,disk_util_peak,disk_util_auc,disk_io_read_mean,disk_io_read_peak,disk_io_read_auc,disk_io_write_mean,disk_io_write_peak,disk_io_write_auc
step07_rollout_restart,1,1769155574,,1769155584,,10.0,53.016203,72.7847937,265.081015,1389.5117125,1391.769525,6947.558562499999,57.875,92.75,289.375,2.5069866,3.944104,12.534932999999999,665.4607876499999,1002.880275,3327.3039382499996
step07_rollout_restart,2,1769155586,,1769155592,,6.0,47.57758,63.763947,142.73273999999998,1395.0924333500002,1402.4336,4185.27730005,45.333333350000004,81.0,136.00000005,0.0,0.0,0.0,1024.19796335,1642.17805,3072.59389005
step07_rollout_restart,3,1769155594,,1769155603,,9.0,35.24174025,49.422262399999994,176.20870125,1404.49714,1406.3685,7022.485699999999,19.5,32.0,97.5,0.0,0.0,0.0,1078.27826735,1671.45428,5391.391336750001
step07_rollout_restart,4,1769155605,,1769155617,,12.0,27.950382966666666,38.0616117,231.87365079999998,1405.9283833333332,1414.7549,11265.0801,10.083333333333334,12.75,86.0,0.0,0.0,0.0,583.9407116666667,701.081615,4649.481095000001
step07_rollout_restart,5,1769155618,,1769155627,,9.0,68.86314275,85.76195949999999,344.31571375,1427.29296,1428.63282,7136.4648,69.1,95.0,345.5,0.0,0.0,0.0,964.9358425,1749.63246,4824.6792125
step07_rollout_restart,6,1769155632,,1769155640,,8.0,47.623929000000004,54.652453,190.49571600000002,1431.4834125,1439.953125,5725.93365,32.75,44.75,131.0,24.9999995,34.0,99.999998,1557.32711625,2116.854775,6229.308465
step07_rollout_restart,7,1769155641,,1769155653,,12.0,31.77744583333333,53.5075225,215.5509294,1434.2203749999999,1447.3291,11462.054649999998,13.75,38.0,83.5,10.333333333333334,31.0,62.0,824.3247169333334,2237.113275,4993.5898226
step07_rollout_restart,8,1769155654,,1769155660,,6.0,51.212397749999994,56.525783399999995,153.63719325,1438.4166500000001,1444.0768,4315.24995,11.16666665,22.3333333,33.49999995,0.0,0.0,0.0,894.78348335,1685.5366,2684.35045005
step07_rollout_restart,9,1769155662,,1769155671,,9.0,38.20460745,54.2466718,191.02303725,1443.0015600000002,1450.80156,7215.007800000001,9.8,11.6,49.0,6.4000004,12.8000008,32.000001999999995,496.3156,564.403934,2481.578
step07_rollout_restart,10,1769155673,,1769155683,,10.0,47.0186207,62.412961800000005,235.09310349999998,1450.97472335,1456.2447667,7254.87361675,45.13333335,78.6,225.66666675,0.0,0.0,0.0,717.67596435,884.609562,3588.37982175
