step,run,A_CORDON_START_EPOCH,A_CORDON_READY_EPOCH,A_CORDON_END_EPOCH,A_CORDON_T_ready,A_CORDON_T_total,A_CORDON_cpu_mean,A_CORDON_cpu_peak,A_CORDON_cpu_auc,A_CORDON_ram_mean,A_CORDON_ram_peak,A_CORDON_ram_auc,A_CORDON_disk_util_mean,A_CORDON_disk_util_peak,A_CORDON_disk_util_auc,A_CORDON_io_read_mean,A_CORDON_io_read_peak,A_CORDON_io_read_auc,A_CORDON_io_write_mean,A_CORDON_io_write_peak,A_CORDON_io_write_auc,B_PENDING_START_EPOCH,B_PENDING_READY_EPOCH,B_PENDING_END_EPOCH,B_PENDING_T_ready,B_PENDING_T_total,B_PENDING_cpu_mean,B_PENDING_cpu_peak,B_PENDING_cpu_auc,B_PENDING_ram_mean,B_PENDING_ram_peak,B_PENDING_ram_auc,B_PENDING_disk_util_mean,B_PENDING_disk_util_peak,B_PENDING_disk_util_auc,B_PENDING_io_read_mean,B_PENDING_io_read_peak,B_PENDING_io_read_auc,B_PENDING_io_write_mean,B_PENDING_io_write_peak,B_PENDING_io_write_auc,C_UNCORDON_START_EPOCH,C_UNCORDON_READY_EPOCH,C_UNCORDON_END_EPOCH,C_UNCORDON_T_ready,C_UNCORDON_T_total,C_UNCORDON_cpu_mean,C_UNCORDON_cpu_peak,C_UNCORDON_cpu_auc,C_UNCORDON_ram_mean,C_UNCORDON_ram_peak,C_UNCORDON_ram_auc,C_UNCORDON_disk_util_mean,C_UNCORDON_disk_util_peak,C_UNCORDON_disk_util_auc,C_UNCORDON_io_read_mean,C_UNCORDON_io_read_peak,C_UNCORDON_io_read_auc,C_UNCORDON_io_write_mean,C_UNCORDON_io_write_peak,C_UNCORDON_io_write_auc
step08_cordon_uncordon,1,1769156198,,1769156198,,0,12.212907150000001,46.795259400000006,1346.5683320000003,1360.5060641666666,1378.57344,156402.09035,7.080555554166668,83.4,841.33333325,27.26666650833333,182.35036,3271.999981,73.15152948333333,207.25584,8450.45424875,1769156199,,1769156500,,301,18.46190154918033,46.8570939,5456.754207749998,1394.504327213115,1422.16874,418466.69090000005,4.127868852459016,32.0,1252.0,24.104918649180327,182.782548,7058.000178,104.92221400163933,868.429632,31797.942937499996,1769156500,,1769156501,,1,16.308031,18.112245,16.308031,1383.08205,1392.2383,1383.08205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
step08_cordon_uncordon,2,1769156503,,1769156504,,1,18.81588394,51.8208218,2183.1534725,1381.8586670000002,1391.2961,165797.9846875,2.546,15.25,277.125,30.496001104,182.782548,3530.0001129999996,100.78535106400001,686.03375,10863.084507,1769156504,,1769156804,,300,18.083571566666663,42.916463199999995,5274.846878999999,1386.5026283333334,1396.8469,409012.6503,3.33,51.4,964.5,13.682271168333333,192.8,3730.93003175,105.55025052166667,635.06994,30128.316105249996,1769156804,,1769156805,,1,14.332141,17.4683541,14.332141,1393.2949,1396.832,1393.2949,4.0,6.0,4.0,239.59042499999998,466.0845,239.59042499999998,46.279765,59.81865,46.279765
step08_cordon_uncordon,3,1769156808,,1769156808,,0,18.726563233333334,49.8584157,2082.92964975,1388.3799602791667,1399.4205667,159642.29771674998,5.077777779166667,51.4,576.66666675,11.66666635,139.764252,1399.9999619999999,101.86662817083334,615.232544,10619.997503749999,1769156809,,1769157110,,301,20.292554080327864,65.2244364,5992.99865625,1416.5786255737703,1430.15626,425038.42215,7.2655737704918035,83.8,2178.0,42.75409835737704,236.172236,13023.999998000003,121.6000005442623,774.709036,35070.431420999994,1769157110,,1769157111,,1,13.257576,18.686869,13.257576,1421.4609500000001,1430.1953,1421.4609500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
step08_cordon_uncordon,4,1769157114,,1769157114,,0,19.502143929166667,50.1846473,2177.02313125,1418.1551712499997,1426.9625,163088.71867499998,6.043749999999999,76.8,679.625,51.99295700833333,322.230955,5433.577453499999,100.94128281249999,392.9908,11104.47694,1769157114,,1769157415,,301,18.815591136065574,55.89901379999999,5561.90491825,1416.295208852459,1427.47344,424924.64415000007,4.0688524590163935,48.4,1183.0,34.80655746229508,315.131838,9698.000055999999,119.6721330967213,982.962488,34990.02499500001,1769157415,,1769157416,,1,12.069077,13.705583999999998,12.069077,1408.5996,1417.9961,1408.5996,0.0,0.0,0.0,38.085845,76.17169,38.085845,3.5594245,7.118849,3.5594245
step08_cordon_uncordon,5,1769157419,,1769157419,,0,19.083161804166664,48.020179999999996,2125.4804565000004,1410.0744152083334,1422.08282,162111.65246250003,5.658333333333334,48.4,643.0,27.29999989166667,149.5999934,3275.9999869999997,107.4596706375,678.961492,11501.838608999999,1769157420,,1769157720,,300,18.24306990666667,49.009891100000004,5305.4051015,1414.0673306666665,1422.1,417175.72655,3.976666666666667,50.6,1153.0,18.213332676666667,364.37266,5064.9376125,110.44491886833333,889.900212,31453.4011255,1769157721,,1769157721,,0,23.724490000000003,23.724490000000003,0.0,1408.7305,1408.7305,0.0,1.0,1.0,0.0,4.275241,4.275241,0.0,52.60559,52.60559,0.0
step08_cordon_uncordon,6,1769157724,,1769157725,,1,19.414114312000002,50.4544559,2254.42305725,1414.1803087999997,1421.08828,169707.0562,5.864000000000001,50.6,697.0,23.417789336000002,364.37266,2747.6118255,107.40849838799998,660.1825215,11491.33392475,1769157725,,1769158026,,301,18.961488940983607,50.4544559,5614.894622499999,1419.4717872131146,1429.63438,425862.29549999995,5.078688524590162,47.4,1516.0,68.02622908196722,292.799992,20530.388027500005,112.24719422131146,679.648754,32570.937934750003,1769158026,,1769158027,,1,18.8477765,19.746834999999997,18.8477765,1418.3339999999998,1422.4414,1418.3339999999998,0.0,0.0,0.0,6.763256,13.526512,6.763256,0.0,0.0,0.0
step08_cordon_uncordon,7,1769158030,,1769158030,,0,18.50786569166667,44.985663100000004,2067.50391825,1418.7352208333334,1429.17188,163150.43355,2.5833333333333335,9.4,284.5,49.00000024166667,210.019398,5880.000028999999,93.69758316666667,450.342008,9837.854963,1769158030,,1769158331,,301,18.620829685245905,60.6202342,5524.211251249999,1417.5737704918038,1424.85782,425286.02735,3.960655737704918,58.6,1178.5,34.81967296393442,339.9654308,10620.000253999999,110.4290741295082,751.016782,32379.5403445,1769158331,,1769158332,,1,19.744768,20.101781,19.744768,1418.93555,1429.3164,1418.93555,6.0,12.0,6.0,0.0,0.0,0.0,214.78661499999998,328.8676,214.78661499999998
step08_cordon_uncordon,8,1769158334,,1769158335,,1,19.165146663999998,46.812625000000004,2243.574272,1417.2692495999997,1424.41486,170077.332,5.208000000000001,58.6,624.0,3.072000392,54.4000098,384.000049,83.410878584,434.6984672,9339.613655000001,1769158335,,1769158636,,301,19.7563749147541,57.619930200000006,5856.44218275,1415.3982734426231,1426.77734,424628.78004999994,6.22950819672131,70.2,1865.0,34.95189605245902,231.198102,10624.164191,124.50072170163934,744.799922,36654.910751999996,1769158636,,1769158637,,1,16.231190249999997,18.686869499999997,16.231190249999997,1412.9375,1415.418,1412.9375,9.5,17.0,9.5,47.283345,72.32821,47.283345,638.9713449999999,1214.6822,638.9713449999999
step08_cordon_uncordon,9,1769158640,,1769158640,,0,19.22409309166667,43.014389699999995,2156.8982960000003,1412.280960833333,1417.83906,162403.94775000002,4.966666666666667,49.0,566.5,57.70000105833333,231.198102,6816.164232,130.74912184166666,812.5336016,13529.741609499999,1769158640,,1769158941,,301,18.698102657377053,56.444682300000004,5554.208879749999,1411.7393606557375,1439.4539,423538.75695000007,2.7967213114754097,18.0,823.5,51.40875979180328,294.844642,15571.8358415,116.79478956065574,1247.0198,33557.97992500001,1769158941,,1769158942,,1,18.54133975,18.877551,18.54133975,1404.88085,1412.5781,1404.88085,2.5,5.0,2.5,252.87995,505.7599,252.87995,2.865892,5.731784,2.865892
step08_cordon_uncordon,10,1769158944,,1769158945,,1,18.598055656,46.4046072,2169.0725414999997,1396.9857216,1403.01642,167634.0043,2.872,15.2,317.5,74.155897724,353.89745,8182.743570500001,93.235848852,492.35392,10337.240487,1769158945,,1769159246,,301,19.2518805295082,58.240544799999995,5713.64321575,1405.720131803279,1421.59844,421738.68319999997,4.567213114754097,72.4,1349.0,89.967212052459,419.88632,26266.971841000002,117.19344484262295,1024.000088,34051.11588700001,1769159246,,1769159247,,1,14.2083335,16.666667,14.2083335,1405.3164000000002,1415.1211,1405.3164000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
