run,worker,tcp_mean_mbps,tcp_peak_mbps,ping_mean_ms,ping_p95_ms,loss_pct
1,pi03,357.00959889658697,387.97621877475,1.6003500000000002,1.9795000000000067,0.0
1,pi04,369.7176320003257,419.4245500815917,1.4183999999999999,1.6650000000000067,0.0
1,yhsensorpi,296.1799049209005,377.48848500335276,1.9789999999999999,2.4345000000000057,0.0
2,pi03,341.8897195428532,367.00085625150723,1.0735499999999998,1.8520000000000003,0.0
2,pi04,358.95806715350625,387.983202762027,1.11795,1.4885000000000008,0.0
2,yhsensorpi,274.5659359955814,314.56432522832137,1.9224999999999999,2.496500000000002,0.0
3,pi03,365.4231991635501,419.42075022201624,1.1005999999999998,1.4355000000000004,0.0
3,pi04,354.2538878815419,377.48583000620124,1.0793000000000001,1.9140000000000001,0.0
3,yhsensorpi,288.6306127633055,325.0553050325939,2.1715,2.923000000000002,0.0
4,pi03,358.75416232264445,377.48736,1.02495,1.6310000000000002,0.0
4,pi04,357.7463036995783,387.9188300979644,1.0322,1.3480000000000008,0.0
4,yhsensorpi,306.7065307633221,367.0056469196248,1.89,2.802500000000001,0.0
5,pi03,360.29442644897824,387.99291601002363,1.1440499999999998,2.2430000000000003,0.0
5,pi04,362.7782997764481,398.1015435986573,0.9820000000000002,1.3725000000000005,0.0
5,yhsensorpi,293.92808956546816,335.547680033646,1.4644499999999998,2.0775000000000015,0.0
6,pi03,371.8879931258383,387.97080751378354,0.9971,1.2995000000000005,0.0
6,pi04,358.044626501229,387.9719637534459,1.0684,1.4745000000000004,0.0
6,yhsensorpi,284.575814847018,325.0432932170573,1.4745,2.001000000000001,0.0
7,pi03,366.8614192345711,408.647529766211,1.2045000000000001,2.642000000000001,0.0
7,pi04,361.7394431515012,397.400217744482,1.2425,1.966500000000001,0.0
7,yhsensorpi,272.1737854080632,304.09189757759515,1.9319999999999997,2.354000000000002,0.0
8,pi03,353.5376063131108,387.98280961699186,0.9976999999999998,1.1140000000000008,0.0
8,pi04,357.2947514570252,387.9746693811875,0.9906499999999999,1.2710000000000008,0.0
8,yhsensorpi,298.5730621651583,398.45451004792636,1.9214999999999995,2.3130000000000015,0.0
9,pi03,362.02143960387167,398.4748168873913,1.0995000000000001,1.7580000000000005,0.0
9,pi04,367.26309092924623,387.98089015561413,1.08025,2.1050000000000004,0.0
9,yhsensorpi,296.66035538695576,335.55270020929026,1.855,2.616500000000003,0.0
10,pi03,366.1246111306858,389.77565921013866,1.0827,1.9705,0.0
10,pi04,342.8880298614071,377.45604259839433,1.2299,1.9240000000000002,0.0
10,yhsensorpi,287.70208647354497,366.99608758279857,1.4522,2.8735,0.0
