run,T_ready,T_total,cpu_mean,cpu_peak,cpu_auc,ram_mean,ram_peak,ram_auc,disk_mean,disk_peak,disk_auc,net_rx_peak_kbps,net_tx_peak_kbps
1,53,300,14.99507707178771,42.424238800000005,-5356.8967965500005,1273.6858430167597,1296.6602,-454706.51029999997,5.723463687150838,100.0,-2045.0,0.0,0.0
2,19,300,14.374150697206703,64.194378,-5134.67909295,1278.4534304469273,1300.625,-456407.39645,3.357541899441341,100.0,-1202.0,0.0,0.0
3,3,300,14.349227928412255,49.118385,-5141.9014749,1285.1303671309192,1308.3906,-460079.42874999996,5.582172701949861,100.0,-2002.5,0.0,0.0
4,8,300,14.666556698044694,98.9847671,-5241.13805795,1285.1982684357542,1310.3789,-458817.941,5.743016759776537,100.0,-2052.0,0.0,0.0
5,15,300,15.244866758100558,78.826528,-5445.272300750001,1279.535033519553,1318.8008,-456792.5557,4.893854748603352,100.0,-1751.0,0.0,0.0009338574
6,3,300,14.962530441176472,80.867345,-5332.7542339,1276.2425582633055,1301.3984,-454338.46245,5.837535014005602,100.0,-2081.5,0.000934122,0.0
7,4,300,14.38272185698324,54.961833999999996,-5140.77533225,1282.796798603352,1303.1445,-457959.93354999996,4.879888268156424,100.0,-1746.0,0.0,0.0
8,4,300,14.170865080167596,41.7948743,-5063.6628559,1286.3771156424582,1317.0312,-459243.18515000003,5.0418994413407825,100.0,-1804.5,0.0009342617,0.0
9,9,300,14.879670877932961,61.518983,-5316.7808132499995,1279.0150382681563,1306.1094,-456615.66299999994,5.189944134078212,100.0,-1857.5,0.0,0.0
10,3,300,14.790827535195533,55.076143099999996,-5284.2861046,1288.1867441340783,1312.0039,-459887.21185,5.67877094972067,100.0,-2027.5,0.0,0.0
