run,START_EPOCH,READY_EPOCH,LOAD_START_EPOCH,LOAD_END_EPOCH,END_EPOCH,ttft_mean,total_mean,queue_mean,cpu_mean,cpu_peak,cpu_auc,ram_mean,ram_peak,ram_auc,disk_mean,disk_peak,disk_auc,net_rx_peak,net_tx_peak,net_rx_auc,net_tx_auc
1.0,1771659809.0,1771659811.0,1771659812.0,1771660147.0,1771660207.0,5.576693383333334,5.577072066666668,61.26114606666667,54.18326703965087,220.6664092,-108474.6127865,6776.011352618454,6925.1797,-13565680.90675,18.50374064837905,404.0,-37045.0,0.0,0.0,0.0,0.0
2.0,1771660209.0,1771660211.0,1771660212.0,1771660600.0,1771660660.0,6.452266849999999,6.452624316666667,80.04339118333334,53.71538474692982,220.6664092,-122237.39876075,6806.122162280703,6932.9454,-15484013.6765,15.901315789473683,404.0,-36222.5,0.0,0.0,0.0,7.76
3.0,1771660663.0,1771660665.0,1771660666.0,1771661069.0,1771661129.0,6.707014916666666,6.707392966666668,87.54228495,53.98997752399151,220.6664092,-126909.63715775,6824.495124416136,6946.586,-16041191.95525,15.411889596602972,404.0,-36265.0,1.552,0.0,-15.52,7.76
4.0,1771661132.0,1771661134.0,1771661135.0,1771661547.0,1771661607.0,6.874129316666666,6.874512516666668,89.59824079999999,53.57980146428572,188.1857292,-127347.37068325,6834.323712394958,6946.586,-16241978.23825,12.472689075630251,404.0,-29682.5,1.552,0.0,-23.28,7.76
5.0,1771661610.0,1771661612.0,1771661613.0,1771662034.0,1771662094.0,7.0190155166666655,7.019378966666667,93.61648348333334,54.08422439670103,186.564251,-130953.41468225,6860.6294189690725,6946.586,-16606622.4345,13.83917525773196,322.0,-33537.5,2.3292982,0.0,-38.8,7.760000000000001
6.0,1771662097.0,1771662098.0,1771662100.0,1771662523.0,1771662583.0,7.062647499999998,7.06303335,93.06040836666666,54.0129773706721,206.4769693,-132291.718545,6868.466128716905,6946.586,-16834502.25625,13.067209775967411,322.0,-31860.0,2.3292982,0.0,-38.8,7.760000000000001
7.0,1771662586.0,1771662588.0,1771662589.0,1771663009.0,1771663069.0,6.9994227833333325,6.999791466666666,93.44549175,55.31765698518518,236.8224133,-134094.40314799998,6875.829695679012,6977.4375,-16677719.568999998,17.897119341563787,479.0,-43380.0,2.3292982,0.0,-38.8,0.0
8.0,1771663072.0,1771663074.0,1771663075.0,1771663495.0,1771663555.0,6.993864383333333,6.99424445,92.86863325,54.82269156769547,236.8224133,-132951.83139474998,6876.045735185185,6977.4375,-16674665.550500002,17.067901234567902,479.0,-41457.5,2.3292982,0.0,-23.28,0.0
9.0,1771663558.0,1771663560.0,1771663561.0,1771663896.0,1771663956.0,6.299375735849056,5.583952549999998,90.60618963333334,54.82164793067332,236.8224133,-109763.600395,6867.262675311721,6977.4375,-13748100.46275,16.30922693266833,479.0,-32700.0,0.0,0.0,0.0,0.0
10.0,1771663959.0,1771663961.0,1771663962.0,1771664373.0,1771664433.0,6.970964898305085,6.855294416666667,94.1226771,55.15356898547368,236.8224133,-130797.29277575,6891.054130947368,7046.8282,-16338795.231,16.616842105263157,479.0,-39387.5,0.0,0.0,0.0,7.76
